event_id,homeTeam,awayTeam,homeGoals,awayGoals,h_player_0,h_position_0,h_score_0,h_player_1,h_position_1,h_score_1,h_player_2,h_position_2,h_score_2,h_player_3,h_position_3,h_score_3,h_player_4,h_position_4,h_score_4,h_player_5,h_position_5,h_score_5,h_player_6,h_position_6,h_score_6,h_player_7,h_position_7,h_score_7,h_player_8,h_position_8,h_score_8,h_player_9,h_position_9,h_score_9,h_player_10,h_position_10,h_score_10,a_player_11,a_position_11,a_score_11,a_player_12,a_position_12,a_score_12,a_player_13,a_position_13,a_score_13,a_player_14,a_position_14,a_score_14,a_player_15,a_position_15,a_score_15,a_player_16,a_position_16,a_score_16,a_player_17,a_position_17,a_score_17,a_player_18,a_position_18,a_score_18,a_player_19,a_position_19,a_score_19,a_player_20,a_position_20,a_score_20,a_player_21,a_position_21,a_score_21
8243388,Liverpool,Norwich City,4,1,Alisson,G,6.9,Trent Alexander-Arnold,D,7.4,Joe Gomez,D,6.8,Virgil van Dijk,D,7.8,Andrew Robertson,D,7.0,Jordan Henderson,M,7.1,Fabinho,M,7.5,Georginio Wijnaldum,M,6.6,Mohamed Salah,F,8.4,Roberto Firmino,F,7.7,Divock Origi,F,7.9,Tim Krul,G,6.3,Max Aarons,D,6.5,Grant Hanley,D,5.6,Ben Godfrey,D,6.6,Jamal Lewis,D,6.6,Kenny McLean,M,6.4,Tom Trybull,M,6.2,Emiliano Buendía,M,6.8,Marco Stiepermann,M,6.4,Todd Cantwell,M,6.2,Teemu Pukki,F,7.3
8243390,West Ham United,Manchester City,0,5,Łukasz Fabiański,G,5.8,Ryan Fredericks,D,6.1,Fabián Balbuena,D,5.7,Issa Diop,D,5.4,Aaron Cresswell,D,5.4,Jack Wilshere,M,6.5,Declan Rice,M,6.5,Felipe Anderson,M,5.8,Manuel Lanzini,M,6.5,Michail Antonio,M,6.4,Sébastien Haller,F,6.8,Ederson,G,7.7,Kyle Walker,D,7.3,John Stones,D,7.3,Aymeric Laporte,D,7.2,Oleksandr Zinchenko,D,7.3,Kevin De Bruyne,M,8.2,Rodri,M,7.1,David Silva,M,6.5,Riyad Mahrez,F,9.0,Gabriel Jesus,F,7.4,Raheem Sterling,F,9.5
8243397,Bournemouth,Sheffield United,1,1,Aaron Ramsdale,G,6.6,Chris Mepham,D,7.5,Steve Cook,D,7.0,Nathan Aké,D,7.1,Adam Smith,M,6.4,Philip Billing,M,7.1,Jefferson Lerma,M,6.8,Diego Rico,M,7.2,Joshua King,F,6.5,Ryan Fraser,F,6.9,Callum Wilson,F,6.5,Dean Henderson,G,6.5,Chris Basham,D,6.6,John Egan,D,6.9,Jack OConnell,D,6.9,George Baldock,M,5.8,John Lundstram,M,7.5,Oliver Norwood,M,7.1,John Fleck,M,6.5,Enda Stevens,M,6.5,Callum Robinson,F,6.6,David McGoldrick,F,6.3
8243396,Watford,Brighton & Hove Albion,0,3,Ben Foster,G,5.5,Kiko Femenia,D,6.7,Craig Dawson,D,6.9,Craig Cathcart,D,6.2,José Holebas,D,6.3,Abdoulaye Doucouré,M,6.7,Étienne Capoue,M,6.6,Will Hughes,M,6.4,Gerard Deulofeu,M,6.2,Andre Gray,F,6.5,Troy Deeney,F,6.8,Mathew Ryan,G,7.6,Shane Duffy,D,7.6,Lewis Dunk,D,8.1,Dan Burn,D,7.1,Martín Montoya,M,6.8,Davy Pröpper,M,7.2,Dale Stephens,M,7.0,Solly March,M,6.7,Pascal Groß,F,7.2,Glenn Murray,F,6.6,Jürgen Locadia,F,6.8
8243395,Burnley,Southampton,3,0,Nick Pope,G,7.6,Matthew Lowton,D,7.3,James Tarkowski,D,7.1,Ben Mee,D,7.2,Erik Pieters,D,8.3,Jóhann Guðmundsson,M,7.8,Jack Cork,M,6.7,Ashley Westwood,M,6.4,Dwight McNeil,M,7.5,Chris Wood,F,6.4,Ashley Barnes,F,9.1,Angus Gunn,G,5.6,Jan Bednarek,D,6.8,Jack Stephens,D,6.2,Jannik Vestergaard,D,6.3,Yan Valery,M,5.7,Oriol Romeu,M,6.3,James Ward-Prowse,M,6.9,Ryan Bertrand,M,6.7,Danny Ings,F,6.5,Nathan Redmond,F,6.8,Che Adams,F,5.8
8243391,Crystal Palace,Everton,0,0,Vicente Guaita,G,7.3,Joel Ward,D,7.1,Martin Kelly,D,7.0,Scott Dann,D,6.7,Patrick van Aanholt,D,7.5,Andros Townsend,M,7.0,James McArthur,M,7.3,Luka Milivojević,M,6.5,Max Meyer,M,6.7,Christian Benteke,F,7.2,Jordan Ayew,F,6.9,Jordan Pickford,G,7.6,Séamus Coleman,D,7.2,Michael Keane,D,7.7,Yerry Mina,D,7.7,Lucas Digne,D,6.5,Morgan Schneiderlin,M,6.2,André Gomes,M,6.8,Richarlison,M,6.9,Gylfi Sigurðsson,M,6.5,Bernard,M,6.2,Dominic Calvert-Lewin,F,6.7
8243393,Tottenham,Aston Villa,3,1,Hugo Lloris,G,6.6,Kyle Walker-Peters,D,7.1,Toby Alderweireld,D,7.5,Davinson Sánchez,D,6.8,Danny Rose,D,6.5,Tanguy Ndombélé,M,7.3,Harry Winks,M,7.2,Moussa Sissoko,M,6.5,Érik Lamela,M,7.5,Lucas Moura,F,6.8,Harry Kane,F,8.5,Tom Heaton,G,6.1,Ahmed El-Mohamady,D,6.3,Björn Engels,D,6.8,Tyrone Mings,D,8.2,Neil Taylor,D,6.6,Conor Hourihane,M,7.3,Trezeguet,M,6.9,John McGinn,M,7.5,Jack Grealish,M,7.3,Anwar El Ghazi,M,5.6,Wesley,F,6.6
8243392,Newcastle United,Arsenal,0,1,Martin Dúbravka,G,6.4,Fabian Schär,D,7.2,Jamaal Lascelles,D,6.9,Paul Dummett,D,7.4,Javier Manquillo,M,6.3,Isaac Hayden,M,7.4,Jonjo Shelvey,M,6.7,Sean Longstaff,M,6.6,Matt Ritchie,M,6.5,Miguel Almirón,F,6.6,Joelinton,F,7.3,Bernd Leno,G,7.7,Ainsley Maitland-Niles,D,7.5,Calum Chambers,D,6.9,Sokratis,D,7.0,Nacho Monreal,D,6.8,Mattéo Guendouzi,M,6.7,Granit Xhaka,M,7.3,Henrikh Mkhitaryan,M,6.2,Joseph Willock,M,6.6,Reiss Nelson,M,6.9,Pierre-Emerick Aubameyang,F,7.0
8243389,Leicester City,Wolverhampton,0,0,Kasper Schmeichel,G,7.4,Ricardo Pereira,D,7.2,Jonny Evans,D,7.6,Çağlar Söyüncü,D,7.2,Ben Chilwell,D,6.8,Wilfred Ndidi,M,7.3,Ayoze Pérez,M,6.4,Youri Tielemans,M,7.4,Hamza Choudhury,M,6.8,James Maddison,M,7.2,Jamie Vardy,F,6.3,Rui Patrício,G,7.1,Ryan Bennett,D,7.0,Conor Coady,D,6.9,Willy Boly,D,7.6,Matt Doherty,M,6.3,Leander Dendoncker,M,7.1,Rúben Neves,M,6.5,João Moutinho,M,7.2,Jonny Otto,M,6.0,Raúl Jiménez,F,6.9,Diogo Jota,F,6.9
8243394,Manchester United,Chelsea,4,0,David De Gea,G,8.6,Aaron Wan-Bissaka,D,7.8,Victor Lindelöf,D,7.2,Harry Maguire,D,7.7,Luke Shaw,D,7.3,Paul Pogba,M,7.5,Scott McTominay,M,6.9,Jesse Lingard,M,6.3,Andreas Pereira,M,6.7,Marcus Rashford,M,8.1,Anthony Martial,F,7.7,Kepa Arrizabalaga,G,5.2,César Azpilicueta,D,6.4,Andreas Christensen,D,6.5,Kurt Zouma,D,5.5,Emerson Palmieri,D,6.7,Jorginho,M,6.0,Mateo Kovačić,M,7.3,Pedro,M,7.3,Mason Mount,M,7.2,Ross Barkley,M,6.2,Tammy Abraham,F,6.4
