"","domacini","gosti","isHome","players","positions","scores"
"h_player_01","Liverpool","Norwich City","yes","Alisson","G",6.9
"h_player_02","West Ham United","Manchester City","yes","Łukasz Fabiański","G",5.8
"h_player_03","Bournemouth","Sheffield United","yes","Aaron Ramsdale","G",6.6
"h_player_04","Watford","Brighton & Hove Albion","yes","Ben Foster","G",5.5
"h_player_05","Burnley","Southampton","yes","Nick Pope","G",7.6
"h_player_06","Crystal Palace","Everton","yes","Vicente Guaita","G",7.3
"h_player_07","Tottenham","Aston Villa","yes","Hugo Lloris","G",6.6
"h_player_08","Newcastle United","Arsenal","yes","Martin Dúbravka","G",6.4
"h_player_09","Leicester City","Wolverhampton","yes","Kasper Schmeichel","G",7.4
"h_player_010","Manchester United","Chelsea","yes","David De Gea","G",8.6
"h_player_011","Arsenal","Burnley","yes","Bernd Leno","G",6.9
"h_player_012","Southampton","Liverpool","yes","Angus Gunn","G",6.9
"h_player_013","Norwich City","Newcastle United","yes","Tim Krul","G",6.5
"h_player_014","Everton","Watford","yes","Jordan Pickford","G",7.6
"h_player_015","Aston Villa","Bournemouth","yes","Tom Heaton","G",5.6
"h_player_016","Brighton & Hove Albion","West Ham United","yes","Mathew Ryan","G",6.7
"h_player_017","Manchester City","Tottenham","yes","Ederson","G",5.9
"h_player_018","Sheffield United","Crystal Palace","yes","Dean Henderson","G",7.8
"h_player_019","Chelsea","Leicester City","yes","Kepa Arrizabalaga","G",6.8
"h_player_020","Wolverhampton","Manchester United","yes","Rui Patrício","G",6.9
"h_player_021","Aston Villa","Everton","yes","Tom Heaton","G",7.2
"h_player_022","Norwich City","Chelsea","yes","Tim Krul","G",6.5
"h_player_023","Sheffield United","Leicester City","yes","Dean Henderson","G",5.8
"h_player_024","Watford","West Ham United","yes","Ben Foster","G",7.2
"h_player_025","Brighton & Hove Albion","Southampton","yes","Mathew Ryan","G",6.1
"h_player_026","Manchester United","Crystal Palace","yes","David De Gea","G",6
"h_player_027","Liverpool","Arsenal","yes","Adrián","G",6.3
"h_player_028","Bournemouth","Manchester City","yes","Aaron Ramsdale","G",5.9
"h_player_029","Wolverhampton","Burnley","yes","Rui Patrício","G",6.8
"h_player_030","Tottenham","Newcastle United","yes","Hugo Lloris","G",6.6
"h_player_031","Southampton","Manchester United","yes","Angus Gunn","G",7.9
"h_player_032","Manchester City","Brighton & Hove Albion","yes","Ederson","G",7.5
"h_player_033","West Ham United","Norwich City","yes","Łukasz Fabiański","G",7.3
"h_player_034","Newcastle United","Watford","yes","Martin Dúbravka","G",6.9
"h_player_035","Crystal Palace","Aston Villa","yes","Vicente Guaita","G",7.5
"h_player_036","Chelsea","Sheffield United","yes","Kepa Arrizabalaga","G",6.1
"h_player_037","Leicester City","Bournemouth","yes","Kasper Schmeichel","G",6.5
"h_player_038","Burnley","Liverpool","yes","Nick Pope","G",6.4
"h_player_039","Everton","Wolverhampton","yes","Jordan Pickford","G",6.5
"h_player_040","Arsenal","Tottenham","yes","Bernd Leno","G",7
"h_player_041","Liverpool","Newcastle United","yes","Adrián","G",6.3
"h_player_042","Sheffield United","Southampton","yes","Dean Henderson","G",7.7
"h_player_043","Tottenham","Crystal Palace","yes","Hugo Lloris","G",8.2
"h_player_044","Wolverhampton","Chelsea","yes","Rui Patrício","G",5.2
"h_player_045","Brighton & Hove Albion","Burnley","yes","Mathew Ryan","G",6.2
"h_player_046","Manchester United","Leicester City","yes","David De Gea","G",7.4
"h_player_047","Norwich City","Manchester City","yes","Tim Krul","G",7.4
"h_player_048","Bournemouth","Everton","yes","Aaron Ramsdale","G",7.3
"h_player_049","Watford","Arsenal","yes","Ben Foster","G",6.3
"h_player_050","Aston Villa","West Ham United","yes","Tom Heaton","G",7.1
"h_player_051","Southampton","Bournemouth","yes","Angus Gunn","G",5.6
"h_player_052","Leicester City","Tottenham","yes","Kasper Schmeichel","G",6.7
"h_player_053","Manchester City","Watford","yes","Ederson","G",7.9
"h_player_054","Everton","Sheffield United","yes","Jordan Pickford","G",6
"h_player_055","Burnley","Norwich City","yes","Nick Pope","G",7.4
"h_player_056","Newcastle United","Brighton & Hove Albion","yes","Martin Dúbravka","G",7.3
"h_player_057","West Ham United","Manchester United","yes","Łukasz Fabiański","G",7.5
"h_player_058","Crystal Palace","Wolverhampton","yes","Vicente Guaita","G",6.8
"h_player_059","Arsenal","Aston Villa","yes","Bernd Leno","G",7.4
"h_player_060","Chelsea","Liverpool","yes","Kepa Arrizabalaga","G",6.3
"h_player_061","Sheffield United","Liverpool","yes","Dean Henderson","G",6.1
"h_player_062","Wolverhampton","Watford","yes","Rui Patrício","G",8.2
"h_player_063","Tottenham","Southampton","yes","Hugo Lloris","G",6.8
"h_player_064","Bournemouth","West Ham United","yes","Aaron Ramsdale","G",7.1
"h_player_065","Aston Villa","Burnley","yes","Tom Heaton","G",6.1
"h_player_066","Chelsea","Brighton & Hove Albion","yes","Kepa Arrizabalaga","G",7.1
"h_player_067","Crystal Palace","Norwich City","yes","Vicente Guaita","G",7.6
"h_player_068","Leicester City","Newcastle United","yes","Kasper Schmeichel","G",6.8
"h_player_069","Manchester United","Arsenal","yes","David De Gea","G",7.1
"h_player_070","Brighton & Hove Albion","Tottenham","yes","Mathew Ryan","G",7.6
"h_player_071","Norwich City","Aston Villa","yes","Michael McGovern","G",7
"h_player_072","Watford","Sheffield United","yes","Ben Foster","G",7.5
"h_player_073","Liverpool","Leicester City","yes","Adrián","G",6.5
"h_player_074","Burnley","Everton","yes","Nick Pope","G",7.4
"h_player_075","West Ham United","Crystal Palace","yes","Roberto Jiménez","G",6.2
"h_player_076","Southampton","Chelsea","yes","Angus Gunn","G",5.8
"h_player_077","Arsenal","Bournemouth","yes","Bernd Leno","G",7.2
"h_player_078","Manchester City","Wolverhampton","yes","Ederson","G",5.9
"h_player_079","Newcastle United","Manchester United","yes","Martin Dúbravka","G",7.4
"h_player_080","Everton","West Ham United","yes","Jordan Pickford","G",7.6
"h_player_081","Wolverhampton","Southampton","yes","Rui Patrício","G",7.2
"h_player_082","Chelsea","Newcastle United","yes","Kepa Arrizabalaga","G",6.9
"h_player_083","Leicester City","Burnley","yes","Kasper Schmeichel","G",6.9
"h_player_084","Aston Villa","Brighton & Hove Albion","yes","Tom Heaton","G",7.2
"h_player_085","Bournemouth","Norwich City","yes","Aaron Ramsdale","G",7.2
"h_player_086","Crystal Palace","Manchester City","yes","Wayne Hennessey","G",8
"h_player_087","Manchester United","Liverpool","yes","David De Gea","G",6.7
"h_player_088","Sheffield United","Arsenal","yes","Dean Henderson","G",7.4
"h_player_089","Southampton","Leicester City","yes","Angus Gunn","G",5.1
"h_player_090","Manchester City","Aston Villa","yes","Ederson","G",8.3
"h_player_091","Watford","Bournemouth","yes","Ben Foster","G",8.2
"h_player_092","West Ham United","Sheffield United","yes","Roberto Jiménez","G",6.6
"h_player_093","Brighton & Hove Albion","Everton","yes","Mathew Ryan","G",7.2
"h_player_094","Burnley","Chelsea","yes","Nick Pope","G",5.9
"h_player_095","Newcastle United","Wolverhampton","yes","Martin Dúbravka","G",6.4
"h_player_096","Norwich City","Manchester United","yes","Tim Krul","G",9.2
"h_player_097","Liverpool","Tottenham","yes","Alisson","G",6.6
"h_player_098","Arsenal","Crystal Palace","yes","Bernd Leno","G",6.5
"h_player_099","Bournemouth","Manchester United","yes","Aaron Ramsdale","G",7.7
"h_player_0100","West Ham United","Newcastle United","yes","Roberto Jiménez","G",6.6
"h_player_0101","Manchester City","Southampton","yes","Ederson","G",5.9
"h_player_0102","Sheffield United","Burnley","yes","Dean Henderson","G",7.2
"h_player_0103","Brighton & Hove Albion","Norwich City","yes","Mathew Ryan","G",6.9
"h_player_0104","Aston Villa","Liverpool","yes","Tom Heaton","G",6.5
"h_player_0105","Arsenal","Wolverhampton","yes","Bernd Leno","G",7.9
"h_player_0106","Watford","Chelsea","yes","Ben Foster","G",8
"h_player_0107","Crystal Palace","Leicester City","yes","Vicente Guaita","G",6.5
"h_player_0108","Everton","Tottenham","yes","Jordan Pickford","G",6.4
"h_player_0109","Norwich City","Watford","yes","Tim Krul","G",6
"h_player_0110","Chelsea","Crystal Palace","yes","Kepa Arrizabalaga","G",7.2
"h_player_0111","Tottenham","Sheffield United","yes","Paulo Gazzaniga","G",6.6
"h_player_0112","Southampton","Everton","yes","Alex McCarthy","G",6.5
"h_player_0113","Newcastle United","Bournemouth","yes","Martin Dúbravka","G",6.8
"h_player_0114","Burnley","West Ham United","yes","Nick Pope","G",7.5
"h_player_0115","Leicester City","Arsenal","yes","Kasper Schmeichel","G",7.4
"h_player_0116","Wolverhampton","Aston Villa","yes","Rui Patrício","G",6.6
"h_player_0117","Manchester United","Brighton & Hove Albion","yes","David De Gea","G",6.5
"h_player_0118","Liverpool","Manchester City","yes","Alisson","G",7.1
"h_player_0119","West Ham United","Tottenham","yes","Roberto Jiménez","G",6.1
"h_player_0120","Watford","Burnley","yes","Ben Foster","G",6.1
"h_player_0121","Brighton & Hove Albion","Leicester City","yes","Mathew Ryan","G",7.6
"h_player_0122","Bournemouth","Wolverhampton","yes","Aaron Ramsdale","G",6.8
"h_player_0123","Arsenal","Southampton","yes","Bernd Leno","G",7.2
"h_player_0124","Crystal Palace","Liverpool","yes","Vicente Guaita","G",6.5
"h_player_0125","Everton","Norwich City","yes","Jordan Pickford","G",6.6
"h_player_0126","Manchester City","Chelsea","yes","Ederson","G",6.5
"h_player_0127","Sheffield United","Manchester United","yes","Simon Moore","G",5.3
"h_player_0128","Aston Villa","Newcastle United","yes","Tom Heaton","G",8.2
"h_player_0129","Newcastle United","Manchester City","yes","Martin Dúbravka","G",7.5
"h_player_0130","Tottenham","Bournemouth","yes","Paulo Gazzaniga","G",7.1
"h_player_0131","Liverpool","Brighton & Hove Albion","yes","Alisson","G",6.8
"h_player_0132","Burnley","Crystal Palace","yes","Nick Pope","G",6.2
"h_player_0133","Chelsea","West Ham United","yes","Kepa Arrizabalaga","G",6.9
"h_player_0134","Southampton","Watford","yes","Alex McCarthy","G",6.7
"h_player_0135","Wolverhampton","Sheffield United","yes","Rui Patrício","G",7
"h_player_0136","Norwich City","Arsenal","yes","Tim Krul","G",6.6
"h_player_0137","Manchester United","Aston Villa","yes","David De Gea","G",6.1
"h_player_0138","Leicester City","Everton","yes","Kasper Schmeichel","G",6.7
"h_player_0139","Crystal Palace","Bournemouth","yes","Vicente Guaita","G",7.4
"h_player_0140","Burnley","Manchester City","yes","Nick Pope","G",6.3
"h_player_0141","Chelsea","Aston Villa","yes","Kepa Arrizabalaga","G",6.6
"h_player_0142","Southampton","Norwich City","yes","Alex McCarthy","G",6.6
"h_player_0143","Wolverhampton","West Ham United","yes","Rui Patrício","G",7.8
"h_player_0144","Manchester United","Tottenham","yes","David De Gea","G",7
"h_player_0145","Leicester City","Watford","yes","Kasper Schmeichel","G",7.1
"h_player_0146","Liverpool","Everton","yes","Adrián","G",6.4
"h_player_0147","Sheffield United","Newcastle United","yes","Dean Henderson","G",6.3
"h_player_0148","Arsenal","Brighton & Hove Albion","yes","Bernd Leno","G",7.6
"h_player_0149","Everton","Chelsea","yes","Jordan Pickford","G",6.6
"h_player_0150","Watford","Crystal Palace","yes","Ben Foster","G",6.8
"h_player_0151","Tottenham","Burnley","yes","Paulo Gazzaniga","G",7.3
"h_player_0152","Bournemouth","Liverpool","yes","Aaron Ramsdale","G",7.2
"h_player_0153","Manchester City","Manchester United","yes","Ederson","G",7.5
"h_player_0154","Norwich City","Sheffield United","yes","Tim Krul","G",6.2
"h_player_0155","Newcastle United","Southampton","yes","Martin Dúbravka","G",6.7
"h_player_0156","Aston Villa","Leicester City","yes","Tom Heaton","G",6.1
"h_player_0157","Brighton & Hove Albion","Wolverhampton","yes","Mathew Ryan","G",6.6
"h_player_0158","West Ham United","Arsenal","yes","David Martin","G",5.6
"h_player_0159","Liverpool","Watford","yes","Alisson","G",7.4
"h_player_0160","Sheffield United","Aston Villa","yes","Dean Henderson","G",6.8
"h_player_0161","Burnley","Newcastle United","yes","Nick Pope","G",6.9
"h_player_0162","Leicester City","Norwich City","yes","Kasper Schmeichel","G",6.5
"h_player_0163","Chelsea","Bournemouth","yes","Kepa Arrizabalaga","G",6.7
"h_player_0164","Southampton","West Ham United","yes","Alex McCarthy","G",7.1
"h_player_0165","Manchester United","Everton","yes","David De Gea","G",6.3
"h_player_0166","Wolverhampton","Tottenham","yes","Rui Patrício","G",6.6
"h_player_0167","Arsenal","Manchester City","yes","Bernd Leno","G",6.5
